"division","state","postcode","sa3_name","sa4_name"
"Monash","ACT","2904","Tuggeranong","Australian Capital Territory"
"Moncrieff","ACT","2914","Gungahlin","Australian Capital Territory"
"Mount Stromlo","ACT","2611","Weston Creek","Australian Capital Territory"
"Narrabundah","ACT","2604","South Canberra","Australian Capital Territory"
"Ngunnawal","ACT","2913","Gungahlin","Australian Capital Territory"
"Nicholls","ACT","2913","Gungahlin","Australian Capital Territory"
"O'Connor","ACT","2602","North Canberra","Australian Capital Territory"
"O'Malley","ACT","2606","Woden","Australian Capital Territory"
"Oaks Estate","ACT","2620","Tuggeranong","Australian Capital Territory"
"Oxley","ACT","2903","Tuggeranong","Australian Capital Territory"
"Paddys River","ACT","2620","Tuggeranong","Australian Capital Territory"
"Page","ACT","2614","Belconnen","Australian Capital Territory"
"Palmerston","ACT","2913","Gungahlin","Australian Capital Territory"
"Parkes","ACT","2600","Woden","Australian Capital Territory"
"Parliament House","ACT","2600","Woden","Australian Capital Territory"
"Pearce","ACT","2607","Woden","Australian Capital Territory"
"Phillip","ACT","2606","Woden","Australian Capital Territory"
"Phillip DC","ACT","2606","Woden","Australian Capital Territory"
"Pialligo","ACT","2609","South Canberra","Australian Capital Territory"
"Pierces Creek","ACT","2611","Weston Creek","Australian Capital Territory"
"Red Hill","ACT","2603","South Canberra","Australian Capital Territory"
"Reid","ACT","2612","North Canberra","Australian Capital Territory"
"Richardson","ACT","2905","Tuggeranong","Australian Capital Territory"
"Rivett","ACT","2611","Weston Creek","Australian Capital Territory"
"Russell","ACT","2600","Woden","Australian Capital Territory"
"Russell Hill","ACT","2600","Woden","Australian Capital Territory"
"Scullin","ACT","2614","Belconnen","Australian Capital Territory"
"Spence","ACT","2615","Cotter - Namadgi","Australian Capital Territory"
"Stirling","ACT","2611","Weston Creek","Australian Capital Territory"
"Strathnairn","ACT","2615","Cotter - Namadgi","Australian Capital Territory"
"Stromlo","ACT","2611","Weston Creek","Australian Capital Territory"
"Swinger Hill","ACT","2606","Woden","Australian Capital Territory"
"Symonston","ACT","2609","South Canberra","Australian Capital Territory"
"Taylor","ACT","2913","Gungahlin","Australian Capital Territory"
"Tharwa","ACT","2620","Tuggeranong","Australian Capital Territory"
"Theodore","ACT","2905","Tuggeranong","Australian Capital Territory"
