"division","state","postcode","sa3_name","sa4_name"
"Ashby Island","NSW","2463","Clarence Valley","Coffs Harbour - Grafton"
"Ashcroft","NSW","2168","Liverpool","Sydney - South West"
"Ashfield","NSW","2131","Strathfield - Burwood - Ashfield","Sydney - Inner West"
"Ashford","NSW","2361","Inverell - Tenterfield","New England and North West"
"Ashley","NSW","2400","Moree - Narrabri","New England and North West"
"Ashmont","NSW","2650","Wagga Wagga","Riverina"
"Ashtonfield","NSW","2323","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Ashville","NSW","2594","Wagga Wagga","Riverina"
"Asquith","NSW","2077","Hornsby","Sydney - North Sydney and Hornsby"
"Atholwood","NSW","2361","Inverell - Tenterfield","New England and North West"
"Attunga","NSW","2345","Tamworth - Gunnedah","New England and North West"
"Auburn","NSW","2144","Auburn","Sydney - Parramatta"
"Auburn South","NSW","2144","Auburn","Sydney - Parramatta"
"Auburn Vale","NSW","2360","Inverell - Tenterfield","New England and North West"
"Audley","NSW","2232","Sutherland - Menai - Heathcote","Sydney - Sutherland"
"Aurville","NSW","2587","Goulburn - Yass","Capital Region"
"Austinmer","NSW","2515","Wollongong","Illawarra"
"Austral","NSW","2179","Bringelly - Green Valley","Sydney - South West"
"Austral Eden","NSW","2440","Armidale","New England and North West"
"Avalon","NSW","2107","Pittwater","Sydney - Northern Beaches"
"Avalon Beach","NSW","2107","Pittwater","Sydney - Northern Beaches"
"Avisford","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Avoca","NSW","2577","Southern Highlands","Southern Highlands and Shoalhaven"
"Avoca Beach","NSW","2251","Gosford","Central Coast"
"Avon","NSW","2574","Wollondilly","Sydney - Outer South West"
"Avondale","NSW","2530","Kiama - Shellharbour","Illawarra"
"Avonside","NSW","2628","Snowy Mountains","Capital Region"
"Awaba","NSW","2283","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Aylmerton","NSW","2575","Southern Highlands","Southern Highlands and Shoalhaven"
"Baan Baa","NSW","2390","Tamworth - Gunnedah","New England and North West"
"Babinda","NSW","2825","Bourke - Cobar - Coonamble","Far West and Orana"
"Babyl Creek","NSW","2470","Richmond Valley - Hinterland","Richmond - Tweed"
"Back Creek","NSW","2372","Granite Belt","Darling Downs - Maranoa"
"Back Creek","NSW","2390","Tamworth - Gunnedah","New England and North West"
"Back Creek","NSW","2422","Taree - Gloucester","Mid North Coast"
"Back Creek","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Back Creek","NSW","2484","Gold Coast Hinterland","Gold Coast"
"Back Creek","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Back Creek","NSW","2671","Lachlan Valley","Central West"
"Back Creek","NSW","2729","Wagga Wagga","Riverina"
"Back Forest","NSW","2535","Shoalhaven","Southern Highlands and Shoalhaven"
"Backmede","NSW","2470","Richmond Valley - Hinterland","Richmond - Tweed"
"Backwater","NSW","2365","Inverell - Tenterfield","New England and North West"
"Badgerys Creek","NSW","2555","Bringelly - Green Valley","Sydney - South West"
"Badja","NSW","2630","Snowy Mountains","Capital Region"
"Baerami","NSW","2333","Upper Hunter","Hunter Valley exc Newcastle"
"Baerami Creek","NSW","2333","Upper Hunter","Hunter Valley exc Newcastle"
"Bagnoo","NSW","2446","Port Macquarie","Mid North Coast"
"Bago","NSW","2446","Port Macquarie","Mid North Coast"
"Bago","NSW","2730","Tumut - Tumbarumba","Riverina"
"Bagotville","NSW","2477","Richmond Valley - Hinterland","Richmond - Tweed"
"Bakers Creek","NSW","2358","Armidale","New England and North West"
"Bakers Creek","NSW","2359","Inverell - Tenterfield","New England and North West"
"Bakers Creek","NSW","2422","Taree - Gloucester","Mid North Coast"
"Bakers Creek","NSW","2447","Kempsey - Nambucca","Mid North Coast"
"Bakers Swamp","NSW","2820","Dubbo","Far West and Orana"
"Balaclava","NSW","2575","Southern Highlands","Southern Highlands and Shoalhaven"
"Balala","NSW","2358","Armidale","New England and North West"
"Balarang","NSW","2529","Kiama - Shellharbour","Illawarra"
"Balcolyn","NSW","2264","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Bald Blair","NSW","2365","Inverell - Tenterfield","New England and North West"
"Bald Hills","NSW","2549","South Coast","Capital Region"
"Bald Nob","NSW","2370","Inverell - Tenterfield","New England and North West"
"Bald Ridge","NSW","2795","Orange","Central West"
"Baldersleigh","NSW","2365","Inverell - Tenterfield","New England and North West"
"Baldry","NSW","2867","Dubbo","Far West and Orana"
"Balfours Peak","NSW","2403","Inverell - Tenterfield","New England and North West"
"Balgowlah","NSW","2093","Warringah","Sydney - Northern Beaches"
"Balgowlah Heights","NSW","2093","Warringah","Sydney - Northern Beaches"
